onPeakOut,facilitiesOut,maxFacilitiesOut,maxOnPeakOut,time
0,16.7686788054538,0,0,2021-08-23 00:00:00
0,31.4913553261189,0,0,2021-08-23 00:15:00
0,24.8013076473207,0,0,2021-08-23 00:30:00
0,25.6315070362432,0,0,2021-08-23 00:45:00
0,34.2129964494203,0,0,2021-08-23 01:00:00
0,32.8492661354246,0,0,2021-08-23 01:15:00
0,21.3143573711853,0,0,2021-08-23 01:30:00
0,22.103190470149,0,0,2021-08-23 01:45:00
0,25.0391917515051,0,0,2021-08-23 02:00:00
0,24.9217327008502,0,0,2021-08-23 02:15:00
0,23.5740685968517,0,0,2021-08-23 02:30:00
0,19.1328834153732,0,0,2021-08-23 02:45:00
0,14.0383434025769,0,0,2021-08-23 03:00:00
0,14.1188512511787,0,0,2021-08-23 03:14:59
0,14.6776572023975,0,0,2021-08-23 03:30:00
0,15.1408597534403,0,0,2021-08-23 03:45:00
0,12.8252430430593,0,0,2021-08-23 04:00:00
0,14.2695796959516,0,0,2021-08-23 04:15:00
0,12.1417541214454,0,0,2021-08-23 04:30:00
0,15.9693449992194,0,0,2021-08-23 04:45:00
0,14.2305767016426,0,0,2021-08-23 05:00:00
0,13.6133472097404,0,0,2021-08-23 05:15:00
0,12.8882398748745,0,0,2021-08-23 05:30:00
0,16.3090251468053,0,0,2021-08-23 05:45:00
0,19.0512042116024,0,0,2021-08-23 06:00:00
0,17.4194466044157,0,0,2021-08-23 06:15:00
0,16.5707642844045,0,0,2021-08-23 06:29:59
0,19.7373604613441,0,0,2021-08-23 06:45:00
0,21.169078176963,0,0,2021-08-23 07:00:00
0,20.3508576984825,0,0,2021-08-23 07:15:00
0,19.2498730509719,0,0,2021-08-23 07:30:00
0,63.703401106825,0,0,2021-08-23 07:45:00
0,19.0494062534658,0,0,2021-08-23 08:00:00
0,25.0215639125836,0,0,2021-08-23 08:15:00
0,56.3256683485716,0,0,2021-08-23 08:30:00
0,329.76722549225,0,0,2021-08-23 08:45:00
0,316.066329790899,0,0,2021-08-23 09:00:00
0,27.3190331641995,0,0,2021-08-23 09:15:00
0,26.7115536503449,0,0,2021-08-23 09:30:00
0,26.6399234022755,0,0,2021-08-23 09:45:00
0,25.6946561254933,0,0,2021-08-23 10:00:00
0,26.9126593938587,0,0,2021-08-23 10:15:00
0,28.9108640393038,0,0,2021-08-23 10:30:00
0,28.638958217394,0,0,2021-08-23 10:45:00
0,27.3313808488559,0,0,2021-08-23 11:00:00
0,30.9438607401297,0,0,2021-08-23 11:15:00
0,23.5300944544256,0,0,2021-08-23 11:30:00
0,25.9335170945127,0,0,2021-08-23 11:45:00
0,25.2448054067759,0,0,2021-08-23 12:00:00
0,29.1683844400577,0,0,2021-08-23 12:14:59
0,22.5376876238162,0,0,2021-08-23 12:30:00
0,28.56529889493,0,0,2021-08-23 12:45:00
0,22.7054428734974,0,0,2021-08-23 12:59:59
0,23.5065815714307,0,0,2021-08-23 13:15:00
0,23.3124432050997,0,0,2021-08-23 13:30:00
0,24.0293809818157,0,0,2021-08-23 13:45:00
0,22.5061788717455,0,0,2021-08-23 14:00:00
0,27.8160916110816,0,0,2021-08-23 14:15:00
0,26.3084855820004,0,0,2021-08-23 14:30:00
0,24.9157196444231,0,0,2021-08-23 14:45:00
26.5968588505269,26.5968588505269,0,0,2021-08-23 15:00:00
29.3603254103285,29.3603254103285,0,0,2021-08-23 15:15:00
28.7394201871069,28.7394201871069,0,0,2021-08-23 15:30:00
34.134705901646,34.134705901646,0,0,2021-08-23 15:45:00
25.5887003711968,25.5887003711968,0,0,2021-08-23 16:00:00
20.9125919332045,20.9125919332045,0,0,2021-08-23 16:15:00
13.555753122248,13.555753122248,0,0,2021-08-23 16:30:00
14.1432191617406,14.1432191617406,0,0,2021-08-23 16:45:00
10.0534398159059,10.0534398159059,0,0,2021-08-23 17:00:00
9.719778692123,9.719778692123,0,0,2021-08-23 17:15:00
6.51389839767382,6.51389839767382,0,0,2021-08-23 17:30:00
6.5670856499297,6.5670856499297,0,0,2021-08-23 17:45:00
5.27329598470651,5.27329598470651,0,0,2021-08-23 18:00:00
5.32478168018854,5.32478168018854,0,0,2021-08-23 18:15:00
4.79609357114339,4.79609357114339,0,0,2021-08-23 18:30:00
249.437022443577,249.437022443577,0,0,2021-08-23 18:45:00
305.472311843384,305.472311843384,0,0,2021-08-23 19:00:00
90.1834100999039,90.1834100999039,0,0,2021-08-23 19:15:00
5.60274837662117,5.60274837662117,0,0,2021-08-23 19:30:00
7.69076260845733,7.69076260845733,0,0,2021-08-23 19:45:00
5.87158003020491,5.87158003020491,0,0,2021-08-23 20:00:00
7.77820564306319,7.77820564306319,0,0,2021-08-23 20:15:00
499.710009083584,499.710009083584,0,500,2021-08-23 20:30:00
306.822497129925,306.822497129925,0,0,2021-08-23 20:45:00
306.77962263152,306.77962263152,0,0,2021-08-23 21:00:00
8.97907645935159,8.97907645935159,0,0,2021-08-23 21:15:00
306.379977102568,306.379977102568,0,0,2021-08-23 21:30:00
17.3986392286097,17.3986392286097,0,0,2021-08-23 21:45:00
0,305.637490643379,0,0,2021-08-23 22:00:00
0,306.693544252821,0,0,2021-08-23 22:15:00
0,306.11124200831,0,0,2021-08-23 22:30:00
0,295.236672680925,0,0,2021-08-23 22:45:00
0,1149.20468682001,1150,0,2021-08-23 23:00:00
0,905.076183963634,0,0,2021-08-23 23:15:00
0,728.289797737748,0,0,2021-08-23 23:30:00
0,601.366911960358,0,0,2021-08-23 23:45:00
